Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
306,Alfonzo McKinnie\mckinal01,SF,27,CLE,23,0,11.0,1.0,3.0,.353,0.3,1.2,.286,0.7,1.7,.400,.412,0.3,0.5,.636,0.7,1.5,2.1,0.2,0.3,0.1,0.5,1.2,2.7
307,Jordan McLaughlin\mclaujo01,PG,23,MIN,6,0,15.7,1.8,5.3,.344,0.7,2.5,.267,1.2,2.8,.412,.406,0.7,0.7,1.000,0.2,1.5,1.7,2.7,0.8,0.0,0.8,1.0,5.0
308,Ben McLemore\mclembe01,SG,26,HOU,35,8,23.6,3.2,7.9,.404,2.4,6.8,.354,0.8,1.1,.700,.556,1.0,1.3,.800,0.4,2.0,2.4,0.9,0.7,0.2,0.8,2.0,9.8
309,Jordan McRae\mcraejo01,SG,28,WAS,20,2,22.3,4.6,10.4,.438,1.7,3.7,.446,2.9,6.7,.433,.517,2.3,2.9,.789,0.5,2.8,3.3,2.8,0.7,0.6,1.3,2.1,13.0
310,Nicolò Melli\mellini01,C,29,NOP,26,3,14.2,1.7,4.2,.394,0.9,2.9,.307,0.8,1.3,.588,.500,0.9,1.2,.767,0.5,1.8,2.3,1.0,0.5,0.2,0.7,1.7,5.1
311,De'Anthony Melton\meltode01,PG,21,MEM,27,0,16.9,2.6,5.7,.452,0.6,1.7,.319,2.0,4.0,.509,.500,1.8,2.0,.891,0.8,3.0,3.9,2.8,1.3,0.3,1.4,1.9,7.6
312,Chimezie Metu\metuch01,PF,22,SAS,11,0,3.7,1.2,2.0,.591,0.0,0.0,,1.2,2.0,.591,.591,0.4,0.5,.667,0.7,0.8,1.5,0.3,0.1,0.3,0.1,0.1,2.7
313,Khris Middleton\middlkh01,SF,28,MIL,31,28,28.4,7.0,14.6,.476,2.1,5.4,.389,4.9,9.3,.526,.547,2.6,2.9,.901,0.9,4.7,5.6,3.8,0.9,0.2,2.1,2.3,18.7
314,C.J. Miles\milescj01,SG,32,WAS,10,0,16.1,1.9,5.9,.322,1.1,3.5,.314,0.8,2.4,.333,.415,1.5,2.0,.750,0.4,0.8,1.2,1.2,1.0,0.4,0.4,1.4,6.4
315,Malcolm Miller\millema01,SF,26,TOR,20,1,5.5,0.3,1.0,.316,0.3,0.8,.333,0.1,0.2,.250,.447,0.1,0.3,.167,0.1,0.7,0.7,0.4,0.2,0.1,0.2,0.5,0.9
316,Patty Mills\millspa02,PG,31,SAS,35,1,23.2,4.0,9.0,.443,2.3,5.5,.418,1.7,3.4,.483,.572,1.4,1.8,.790,0.3,1.3,1.6,2.1,0.8,0.1,1.0,1.5,11.7
317,Paul Millsap\millspa01,PF,34,DEN,32,32,24.9,4.1,8.8,.468,1.0,2.3,.413,3.2,6.5,.488,.523,2.7,3.0,.885,2.0,3.8,5.8,1.4,0.9,0.7,1.3,2.8,11.9
318,Shake Milton\miltosh01,SG,23,PHI,11,0,9.0,1.4,3.7,.366,0.5,2.0,.227,0.9,1.7,.526,.427,0.9,1.2,.769,0.2,1.2,1.4,0.7,0.1,0.1,1.2,1.4,4.1
319,Donovan Mitchell\mitchdo01,SG,23,UTA,36,36,35.0,9.3,20.2,.462,2.2,6.2,.360,7.1,14.0,.507,.517,4.1,4.9,.840,0.8,3.8,4.5,4.4,1.1,0.3,2.5,2.4,25.0
320,Naz Mitrou-Long\mitrona01,SG,26,IND,3,0,14.3,2.0,5.3,.375,0.7,3.7,.182,1.3,1.7,.800,.438,0.0,0.0,,0.0,2.0,2.0,2.3,0.3,0.3,0.7,0.3,4.7
321,Adam Mokoka\mokokad01,G,21,CHI,2,0,3.0,0.0,2.5,.000,0.0,1.0,.000,0.0,1.5,.000,.000,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
